holdercnt,legal_area,grantyear,grantmonth,grantday,grantdayofweek,grantquarter,startyear,startmonth,startday,startdayofweek,startquarter,endyear,endmonth,endday,enddayofweek,endquarter,is_live,type_COAL MINING LEASE,type_EXPLORATION LICENCE,survstatus_SURVEYED,survstatus_UNSURVEYED,fmt_tenid_freq
2.0,15.0,2005,5,25,2,2,2002,1,7,0,1,2026,5,24,6,2,1,0,1,0,1,0.0002
1.0,8.0,2006,11,29,2,4,2002,5,2,3,2,2017,11,28,1,4,1,0,1,0,1,0.0002
1.0,10.0,2003,6,25,2,2,2002,6,4,1,2,2026,6,24,2,2,1,0,1,0,1,0.0002
1.0,7.0,2006,3,22,2,1,2003,5,9,4,2,2026,3,21,5,1,1,0,1,0,1,0.0002
1.0,37.0,2008,3,6,3,1,2003,9,9,1,3,2027,3,5,4,1,1,0,1,0,1,0.0002
2.0,32.0,2005,10,19,2,4,2004,1,7,2,1,2026,10,18,6,4,1,0,1,0,1,0.0002
1.0,19.0,2011,9,2,4,3,2004,3,4,3,1,2026,9,1,1,3,1,0,1,0,1,0.0002
1.0,70.0,2008,4,22,1,2,2004,4,30,4,2,2027,4,21,2,2,1,0,1,0,1,0.0002
1.0,5.0,2006,2,6,0,1,2004,10,12,1,4,2017,2,5,6,1,1,0,1,0,1,0.0002
1.0,70.0,2005,11,29,1,4,2004,11,24,2,4,2026,11,28,5,4,1,0,1,0,1,0.0002
1.0,11.0,2005,11,29,1,4,2004,11,29,0,4,2026,11,28,5,4,1,0,1,0,1,0.0002
