id,brand,model,variant,series,year,decade,price,price_bracket,kilometers,odometer_category,type,gearbox,fuel,status,cc,color,seating_capacity
12792000,Mercedes-Benz,Vito,116 CDI MWB RWD,447 MY21,2022,2020s,66033.0,premium,10.0,low,Van,Automatic,Diesel,New In Stock,2143.0,White,2
12792010,Mercedes-Benz,GLA200,CDI,X156,2014,2010s,29990.0,economy,87113.0,average,Wagon,Automatic,Diesel,Used,2143.0,Grey,5
12792014,Toyota,Landcruiser Prado,GXL (4X4),GDJ150R MY16,2015,2010s,51990.0,premium,104221.0,average,Wagon,Automatic,Diesel,Used,2753.0,White,7
12792028,Toyota,Landcruiser,Workmate (4X4),VDJ79R MY18,2017,2010s,89990.0,luxury,50671.0,moderate,Cab Chassis,Manual,Diesel,Used,4461.0,White,3
12792035,Volkswagen,Amarok,V6 TDI Sportline,2H MY17.5,2017,2010s,33800.0,mid_range,182297.0,high,Dual Cab Utility,Automatic,Diesel,Used,2967.0,White,5
12792070,Holden,Commodore,SS-V,VF,2013,2010s,48990.0,mid_range,80662.0,average,Sedan,Automatic,Premium Unleaded Petrol,Used,5967.0,Silver,5
12792075,Ford,Falcon,XR6,FG MK2,2013,2010s,18999.0,economy,187272.0,high,Sedan,Automatic,Unleaded Petrol,Used,3984.0,Black,5
12792082,Mazda,CX-5,GT (4X4),MY17.5 (KF Series 2),2018,2010s,39888.0,mid_range,27230.0,moderate,Wagon,Automatic,Unleaded Petrol,Used,2488.0,Red,5
12792083,Kia,Cerato,S,YD MY17,2017,2010s,23990.0,economy,60877.0,average,Sedan,Automatic,Unleaded Petrol,Used,1999.0,White,5
12792084,Toyota,Corolla,Ascent Sport,ZRE182R,2013,2010s,20990.0,economy,32131.0,moderate,Hatchback,Automatic,Unleaded Petrol,Used,1798.0,Black,5
12792087,Honda,HR-V,VTI,MY21,2020,2020s,30990.0,mid_range,28065.0,moderate,Wagon,Automatic,Unleaded Petrol,Used,1799.0,White,5
12792098,Holden,Captiva,LX (4X4),CG MY10,2011,2010s,12950.0,budget,123134.0,high,Wagon,Automatic,Diesel,Used,1991.0,Yellow,7
12792101,Toyota,Yaris,YR,NCP130R,2011,2010s,14990.0,budget,124209.0,high,Hatchback,Automatic,Unleaded Petrol,Used,1299.0,Silver,5
12792111,Mitsubishi,Pajero,Exceed LWB (4X4),NX MY18,2018,2010s,59990.0,premium,47835.0,moderate,Wagon,Automatic,Diesel,Used,3200.0,White,7
12792112,Subaru,BRZ,S,MY22,2022,2020s,48954.0,mid_range,70.0,low,Coupe,Automatic,Premium Unleaded Petrol,Used,2387.0,Blue,4
12792113,Ford,Everest,Titanium (4WD 7 Seat),UA II MY20.25,2020,2020s,62990.0,premium,51647.0,moderate,Wagon,Automatic,Diesel,Used,1996.0,Silver,7
12792138,Nissan,Navara,DX (4X4),D22 MY08,2008,2000s,12995.0,budget,178758.0,high,Cab Chassis,Manual,Diesel,Used,2488.0,Silver,3
12792139,Ford,Ranger,XLT 3.2 HI-Rider (4X2),PX,2015,2010s,34995.0,mid_range,185000.0,high,Crew Cab Pickup,Manual,Diesel,Used,3198.0,White,5
12792142,Mitsubishi,Outlander,LS (4X4),ZK MY17,2017,2010s,24995.0,economy,167993.0,high,Wagon,Automatic,Unleaded Petrol,Used,2360.0,White,7
12792145,Toyota,RAV4,GX (2WD),ZSA42R MY16,2016,2010s,29995.0,economy,54459.0,moderate,Wagon,Automatic,Unleaded Petrol,Used,1987.0,White,5
12792149,Mazda,CX-8,Asaki (fwd),CX8D,2022,2020s,62500.0,premium,2001.0,low,Wagon,Automatic,Unleaded Petrol,Demo,2488.0,Black,7
12792164,Toyota,Hilux,SR (4X4),GUN126R,2017,2010s,43990.0,mid_range,94194.0,average,Dual Cab Chassis,Automatic,Diesel,Used,2753.0,White,5
12792182,Volvo,S60,2.4 20V SE,05 Upgrade,2006,2000s,8990.0,budget,175649.0,high,Sedan,Automatic,Unleaded Petrol,Used,2435.0,Silver,5
12792189,Volkswagen,Amarok,V6 TDI 580 Highline Edition,2H MY19,2018,2010s,54888.0,premium,57226.0,moderate,Dual Cab Utility,Automatic,Diesel,Used,2967.0,Silver,5
12792191,Nissan,Pathfinder,ST (4X2),R52,2015,2010s,27999.0,economy,79454.0,average,Wagon,Automatic,Premium Unleaded Petrol,Used,3498.0,Grey,7
12792201,Mitsubishi,Pajero Sport,GLS (4X4),QE,2016,2010s,41990.0,mid_range,85506.0,average,Wagon,Automatic,Diesel,Used,2442.0,Silver,5
12792203,Mitsubishi,Pajero Sport,Exceed (4X4) 7 Seat,MY17,2017,2010s,49990.0,mid_range,65414.0,average,Wagon,Automatic,Diesel,Used,2442.0,White,7
12792215,Toyota,Fortuner,GX,GUN156R MY19,2019,2010s,63990.0,premium,6714.0,low,Wagon,Automatic,Diesel,Used,2753.0,White,7
12792218,Mitsubishi,Pajero Sport,Exceed (4X4) 7 Seat,QF MY21,2021,2020s,63888.0,premium,18551.0,low,Wagon,Automatic,Diesel,Used,2442.0,White,7
12792221,Toyota,RAV4,GX (2WD) Hybrid,Axah52R,2022,2020s,54888.0,premium,43.0,low,Wagon,Automatic,Unleaded Petrol/Electric,Used,2487.0,Grey,5
12792232,Ford,Everest,Trend (rwd),UA MY17,2017,2010s,46990.0,mid_range,66667.0,average,Wagon,Automatic,Diesel,Used,3198.0,Silver,7
12792234,Ford,Ranger,XLT 3.2 (4X4),PX,2013,2010s,31990.0,mid_range,168553.0,high,Super Cab Utility,Manual,Diesel,Used,3198.0,Gold,4
12792255,Bmw,X3,Xdrive 30D,F25 MY15,2015,2010s,49990.0,mid_range,60000.0,moderate,Wagon,Automatic,Diesel,Used,2993.0,Black,5
12792272,Volkswagen,Golf,110 TSI Trendline,AU MY19,2018,2010s,25888.0,economy,80543.0,average,Hatchback,Automatic,Premium Unleaded Petrol,Used,1395.0,Grey,5
12792274,Mitsubishi,Outlander,ES 7 Seat (2WD),ZL MY19,2018,2010s,23999.0,economy,133197.0,high,Wagon,Automatic,Unleaded Petrol,Used,2360.0,Silver,7
12792277,Hyundai,Tucson,GO (fwd),TL3 MY19,2018,2010s,24999.0,economy,114169.0,average,Wagon,Automatic,Unleaded Petrol,Used,1999.0,Black,5
12792278,Hyundai,Kona,GO (fwd),OS.3 MY20,2019,2010s,23999.0,economy,105746.0,average,Wagon,Automatic,Unleaded Petrol,Used,1999.0,Orange,5
12792287,Toyota,Landcruiser Prado,GXL (4X4),KDJ150R MY14,2015,2010s,49888.0,mid_range,148563.0,high,Wagon,Automatic,Diesel,Used,2982.0,Grey,7
12792288,Nissan,X-Trail,TL (4X4),T31 Series 5,2014,2010s,16990.0,economy,177773.0,high,Wagon,Automatic,Diesel,Used,1995.0,White,5
12792293,Mitsubishi,Triton,GLX-R (4X4),MN MY15,2015,2010s,24990.0,economy,167812.0,high,Double Cab Utility,Manual,Diesel,Used,2477.0,Blue,5
12792294,Holden,Caprice,V,WN MY16,2016,2010s,41990.0,mid_range,101291.0,average,Sedan,Automatic,Premium Unleaded Petrol,Used,6200.0,Silver,5
12792303,Nissan,Pathfinder,ST-L (4X4),R51 MY07,2007,2000s,8950.0,budget,308729.0,very_high,Wagon,Manual,Diesel,Used,2488.0,Grey,7
12792337,Ford,Fiesta,Sport,WZ,2015,2010s,15705.0,economy,99563.0,average,Hatchback,Automatic,Unleaded Petrol,Used,998.0,White,5
12792363,Volvo,S60,T5,F MY12,2013,2010s,17888.0,economy,78805.0,average,Sedan,Automatic,Premium Unleaded Petrol,Used,1999.0,Black,5
12792366,Mercedes-Benz,CLA250,Sport 4Matic,117 MY16,2016,2010s,43990.0,mid_range,54440.0,moderate,Coupe,Automatic,Premium Unleaded Petrol,Used,1991.0,White,5
12792409,Bmw,X5,Xdrive 30D,E70 MY09,2009,2000s,23990.0,economy,76967.0,average,Wagon,Automatic,Diesel,Used,2993.0,Gold,5
12792410,Mercedes-Benz,Vito,113CDI SWB,MY14,2015,2010s,25990.0,economy,120256.0,high,Van,Automatic,Diesel,Used,2143.0,Red,2
12792417,Hyundai,Tucson,Highlander (awd),TLE,2017,2010s,35490.0,mid_range,45874.0,moderate,Wagon,Automatic,Diesel,Used,1995.0,White,5
